CASE_ID,ACCIDENT_YEAR,PROC_DATE,JURIS,COLLISION_DATE,COLLISION_TIME,REPORTING_DISTRICT,DAY_OF_WEEK,POPULATION,PRIMARY_RD,SECONDARY_RD,INTERSECTION,WEATHER_1,STATE_HWY_IND,COLLISION_SEVERITY,NUMBER_KILLED,NUMBER_INJURED,PARTY_COUNT,PRIMARY_COLL_FACTOR,HIT_AND_RUN,TYPE_OF_COLLISION,MVIW,PED_ACTION,ROAD_SURFACE,ROAD_COND_1,LIGHTING,CONTROL_DEVICE,BICYCLE_ACCIDENT,ALCOHOL_INVOLVED,STWD_VEHTYPE_AT_FAULT,CHP_VEHTYPE_AT_FAULT,COUNT_SEVERE_INJ,COUNT_VISIBLE_INJ,COUNT_COMPLAINT_PAIN,COUNT_BICYCLIST_KILLED,COUNT_BICYCLIST_INJURED,CITY
5576716,2012,2013-08-05,3711,2012-03-07,1725,SDPD,3,7,MARKET ST,32ND ST,N,A,N,3,0,1,2,A,N,C,E,A,A,H,A,D,Y,,L,4,0,1,0,0,1,SAN DIEGO
5433656,2011,2013-01-29,3711,2011-12-09,1541,NORTH,5,7,ORANGE AV,BOUNDARY ST,N,B,N,3,0,1,2,A,N,C,G,A,A,H,A,D,Y,,A,1,0,1,0,0,1,SAN DIEGO
8741959,2018,2018-11-29,3711,2018-11-09,745,MC,5,7,MEADE AV,32ND ST,N,A,N,3,0,1,1,A,N,E,I,A,A,H,A,D,Y,,L,4,0,1,0,0,1,SAN DIEGO
4862801,2010,2011-10-07,3711,2010-08-27,648,,5,7,MEAD AV,32ND ST,Y,A,N,3,0,1,2,A,N,B,G,A,A,H,A,A,Y,,-,- ,0,1,0,0,1,SAN DIEGO
6330114,2013,2014-03-26,3711,2013-12-27,2026,,5,7,32 ND ST,REDWOOD ST,N,A,N,3,0,1,2,A,N,C,C,A,A,H,C,A,Y,,L,4,0,1,0,0,1,SAN DIEGO
5440382,2011,2013-02-02,3711,2011-12-18,1453,,7,7,32ND ST,THORN ST,N,A,N,3,0,1,2,A,N,B,G,A,A,H,A,D,Y,,A,1,0,1,0,0,1,SAN DIEGO
5418607,2011,2013-01-10,3711,2011-10-13,2053,,4,7,32ND ST,REDWOOD ST,Y,A,N,2,0,1,2,A,F,D,G,A,A,H,C,A,Y,,-,99,1,0,0,0,1,SAN DIEGO
5493948,2012,2013-07-06,3711,2012-02-26,1911,,7,7,UNIVERSITY AV,32ND ST,N,B,N,3,0,1,1,A,N,H,-,A,A,H,C,A,Y,Y,L,4,0,1,0,0,1,SAN DIEGO
5239997,2011,2012-12-01,3711,2011-07-04,705,,1,7,MIRA MESA BL,BLACK MOUNTAIN RD,N,A,N,3,0,1,1,A,N,H,G,A,A,H,A,D,Y,,L,4,0,1,0,0,1,SAN DIEGO
4131002,2009,2009-10-14,3711,2009-02-20,540,,5,7,32ND ST,LANDIS ST,N,A,N,3,0,1,2,A,N,D,G,A,A,H,C,A,Y,,L,,0,1,0,0,1,SAN DIEGO
5813051,2012,2013-11-27,3711,2012-08-20,2128,,1,7,ADAMS AV,32ND ST,Y,A,N,3,0,1,2,A,N,D,G,A,A,H,C,A,Y,Y,A,1,0,1,0,0,1,SAN DIEGO
4372505,2009,2010-05-15,3711,2009-08-24,1204,,1,7,ADAMS AV,32ND ST,Y,A,N,3,0,1,2,A,N,H,G,A,A,H,A,A,Y,,A,1,0,1,0,0,1,SAN DIEGO
5644140,2012,2013-10-19,3711,2012-06-05,2149,,2,7,BLACK MOUNTAIN RD,MIRA MESA BL,Y,A,N,3,0,1,2,A,N,B,G,A,A,H,C,A,Y,,-,- ,0,1,0,0,1,SAN DIEGO
7176068,2016,2016-02-09,3711,2016-01-28,1000,SANDI,4,7,MIRA MESA BL,BLACK MOUNTAIN RD,N,A,N,4,0,1,2,A,N,B,G,A,A,H,A,A,Y,,L,4,0,0,1,0,1,SAN DIEGO
5821319,2012,2013-12-03,3711,2012-09-02,1832,SD,7,7,MIRA MESA BL,BLACK MOUNTAIN RD,N,A,N,4,0,1,2,A,N,A,G,A,A,H,A,A,Y,,L,4,0,0,1,0,1,SAN DIEGO
6886128,2015,2015-04-23,3711,2015-04-03,952,SANDI,5,7,BLACK MOUNTAIN RD,MIRA MESA BL,Y,A,N,4,0,1,2,A,N,D,G,A,A,H,A,D,Y,,L,4,0,0,1,0,1,SAN DIEGO
8695601,2018,2018-09-24,3711,2018-08-31,1332,,5,7,OCEANVIEW BL,SOUTH 32ND ST,N,A,N,3,0,1,2,A,N,B,G,A,A,G,A,A,Y,,A,1,0,1,0,0,1,SAN DIEGO
8925921,2019,2019-08-27,3711,2019-07-18,1839,,4,7,BALBOA AV,VIEWRIDGE AV,N,A,N,2,0,1,1,A,N,E,I,A,A,H,A,A,Y,,L,4,1,0,0,0,1,SAN DIEGO
5725015,2012,2013-10-26,3711,2012-07-04,712,,3,7,MIRA MESA BL,BLACK MOUNTAIN RD,N,-,N,3,0,1,2,A,N,C,G,A,-,H,-,D,Y,,-,- ,0,1,0,0,1,SAN DIEGO
6322692,2013,2014-05-28,3711,2013-12-30,900,,1,7,AERO DR,AERO DR 9600,N,A,N,4,0,1,2,D,N,H,C,A,A,H,A,D,Y,,-,- ,0,0,1,0,1,SAN DIEGO
8172351,2016,2016-11-30,3711,2016-11-10,717,,4,7,BLACK MOUNTAIN RD,MIRA MESA BL,N,A,N,3,0,1,1,A,N,F,A,A,A,H,A,A,Y,,L,4,0,1,0,0,1,SAN DIEGO
4950215,2010,2011-12-01,3711,2010-11-16,1433,,2,7,BLACK MOUNTAIN RD,MIRA MESA BL,N,A,N,4,0,1,2,A,N,D,G,A,A,H,A,D,Y,,L,4,0,0,1,0,1,SAN DIEGO
6234729,2013,2014-04-17,3711,2013-10-01,439,,2,7,LINCOLN AV,32ND ST,N,A,N,4,0,1,2,A,N,D,G,A,A,H,C,D,Y,,-,- ,0,0,1,0,1,SAN DIEGO
